EXT1	EXT2	EXT3	EXT4	EXT5	EXT6	EXT7	EXT8	EXT9	EXT10	EST1	EST2	EST3	EST4	EST5	EST6	EST7	EST8	EST9	EST10	AGR1	AGR2	AGR3	AGR4	AGR5	AGR6	AGR7	AGR8	AGR9	AGR10	CSN1	CSN2	CSN3	CSN4	CSN5	CSN6	CSN7	CSN8	CSN9	CSN10	OPN1	OPN2	OPN3	OPN4	OPN5	OPN6	OPN7	OPN8	OPN9	OPN10	EXT1_E	EXT2_E	EXT3_E	EXT4_E	EXT5_E	EXT6_E	EXT7_E	EXT8_E	EXT9_E	EXT10_E	EST1_E	EST2_E	EST3_E	EST4_E	EST5_E	EST6_E	EST7_E	EST8_E	EST9_E	EST10_E	AGR1_E	AGR2_E	AGR3_E	AGR4_E	AGR5_E	AGR6_E	AGR7_E	AGR8_E	AGR9_E	AGR10_E	CSN1_E	CSN2_E	CSN3_E	CSN4_E	CSN5_E	CSN6_E	CSN7_E	CSN8_E	CSN9_E	CSN10_E	OPN1_E	OPN2_E	OPN3_E	OPN4_E	OPN5_E	OPN6_E	OPN7_E	OPN8_E	OPN9_E	OPN10_E	dateload	screenw	screenh	introelapse	testelapse	endelapse	IPC	country	lat_appx_lots_of_err	long_appx_lots_of_err
4	1	5	1	5	1	5	2	4	1	1	5	3	5	2	2	5	5	3	1	1	5	2	5	1	5	1	5	5	5	4	4	3	4	4	3	4	2	2	4	4	1	3	1	5	3	5	4	3	4	6187	1916	5800	2167	8934	1750	2497	3083	2133	1735	1833	2250	7398	3169	3966	2401	1867	5035	5816	1549	3032	1717	3583	1749	3316	1583	2103	2668	2367	1931	3968	4519	4703	3100	3767	5500	4248	4683	8334	2767	10218	5965	5917	4966	2368	3952	1666	4467	3934	2284	2018-05-09T17:01:31Z	1440	900	15	191	11	1	US	41.6639	-83.5552
3	5	1	4	4	5	3	4	5	5	5	5	4	2	2	1	2	1	5	4	1	5	1	5	5	2	2	5	5	4	5	1	4	5	5	1	5	5	5	5	2	1	3	1	3	2	4	3	5	3	7622	9242	11401	16494	2387	4530	6579	3390	9009	2310	4642	4192	5265	4156	8925	6236	5477	3386	1098	4655	5348	1196	3902	3711	11567	4665	7066	4768	6060	8644	11794	3631	8124	6564	2995	10440	2532	5672	9696	6566	6390	9809	8492	4240	9125	8724	12364	3508	3230	2170	2018-03-24T20:23:28Z	1366	768	3	316	8	2	US	40.6944	-73.9906
3	1	3	3	5	3	1	1	1	5	5	3	5	3	3	5	5	5	5	3	5	5	1	0	1	3	3	3	3	5	3	1	5	1	5	5	5	3	3	5	3	3	3	3	3	1	3	1	3	3	14600	3860	8509	4124	2979	6255	5003	5550	6806	421	2792	3289	2861	44912	3913	3471	3528	679	3500	8082	6917	3301	7348	0	4741	3030	3256	3374	2651	3798	3561	8645	2863	4814	4110	6432	3086	8073	4569	3263	4453	5539	3843	9369	4016	5692	2976	3643	10859	3963	2017-12-07T10:57:17Z	1366	768	39	283	32	10	US	28.5101	-81.3578
2	2	2	3	3	3	2	3	4	4	4	3	4	2	3	0	1	2	2	3	1	3	1	4	3	0	3	4	3	3	3	1	5	2	2	2	5	2	3	3	4	1	3	3	3	2	3	3	4	3	0	0	0	0	0	12326	7745	5194	5452	5434	0	0	0	0	0	0	1614	4274	4965	8331	0	0	0	0	0	0	14213	6062	11524	6312	0	0	0	0	0	21480	3348	5445	938	12757	0	0	0	0	0	5171	17448	5495	5056	6989	2018-05-29T19:30:33Z	360	640	152	13769	21	2	US	38.0	-97.0
3	2	5	3	3	1	1	3	5	1	2	3	2	2	2	2	3	2	3	2	2	5	1	3	2	2	1	3	5	4	4	4	3	2	2	2	3	2	3	2	4	2	5	2	3	1	4	4	5	5	13199	4613	3257	5017	5904	4472	3654	5381	8268	15912	15681	4445	3003	4279	26680	8606	6631	4023	35464	4902	14168	3344	3574	14171	14501	6419	3110	5263	10054	4673	8773	4399	3459	4901	3439	7792	3573	3851	15031	9680	3281	3615	3565	17064	8889	4350	5339	14121	4426	1883	2018-10-01T16:27:22Z	1366	768	3	396	15	2	CA	43.6425	-79.3872
1	2	3	2	4	2	1	3	3	4	4	3	4	1	3	4	5	5	4	4	1	4	4	4	2	4	2	4	4	2	3	3	4	5	3	2	4	2	4	3	3	4	3	3	2	2	2	4	5	4	3304	2265	6896	1671	2168	3624	2304	10088	47857	3470	2911	2351	1433	2095	2967	3568	2144	1992	7136	1743	14511	4800	2209	3767	2320	2712	30593	4960	10009	2592	1655	1593	3295	4873	7329	2936	1800	1832	8776	18537	2648	3944	1569	4953	2561	3016	2976	2737	2400	1106	2018-10-16T16:45:39Z	1280	800	23	272	12	1	US	39.2499	-86.4555
4	3	2	3	2	4	1	2	5	5	1	3	3	3	3	2	3	1	3	3	4	2	4	2	4	3	2	4	3	2	3	3	3	3	4	4	4	3	3	3	3	2	3	2	4	3	4	2	4	3	7697	2006	2462	2217	1828	1588	2414	3846	2137	1535	1594	1758	1848	2881	1471	1265	1486	2890	1803	1912	11771	1608	1518	2264	3149	2913	5385	3341	3640	3304	1763	4421	1269	2839	1149	2068	1562	25534	1873	14108	2175	3231	1911	1844	2750	1383	1461	1072	1516	1206	2016-10-12T22:43:59Z	1600	900	5	161	8	1	US	32.6102	-117.0296
1	5	2	5	2	5	1	5	1	5	5	2	5	2	2	3	4	4	5	3	1	3	4	5	4	4	4	4	4	3	3	1	5	3	3	1	5	3	4	5	2	4	2	4	3	5	4	2	5	2	5873	4036	3879	2631	3036	1170	5353	1649	2586	2492	8356	6824	1099	1673	4136	4098	3302	2642	2695	6453	3576	5583	9689	4066	8269	3228	3561	2579	3462	4314	12902	4033	5382	5939	9077	3135	3268	5426	4668	5101	5073	5677	5686	4392	7674	4922	5472	3684	2781	3492	2016-10-09T19:04:05Z	1920	1080	71	232	13	1	AU	-42.7833	147.25
1	4	3	3	4	3	2	3	4	4	3	2	4	3	4	5	3	4	4	3	4	4	1	4	1	4	2	4	4	4	1	4	3	2	3	1	2	2	2	2	3	1	2	1	2	3	3	2	3	2	18207	11752	8942	8150	6620	10459	7023	5862	4920	10719	9119	13417	4544	4058	7352	4117	10498	4949	3961	2641	9545	952	5454	3762	11804	3388	6972	7414	5104	7996	8557	4224	5926	6076	5920	5889	2284	4691	5114	5015	9633	6803	14703	6408	1184	12900	10483	7052	5174	3321	2017-06-17T12:33:15Z	320	534	10	354	20	1	IN	20.0	77.0
1	5	3	5	1	4	4	5	1	5	3	4	4	3	4	3	3	3	2	3	3	1	2	3	3	5	4	5	4	4	5	2	5	4	1	3	4	3	3	4	4	3	4	1	4	2	5	3	4	4	4077	2839	5007	4562	3040	5549	5748	3488	2815	4454	5588	4282	4528	6284	2895	3364	3695	3633	3990	6567	27020	1421	2644	5503	7062	2119	7285	4834	7172	1021	2812	13259	5338	3887	2706	6640	3043	3159	4443	5613	2973	5843	3028	4084	2720	4295	3258	3253	8988	6563	2016-11-17T15:13:16Z	360	640	12	251	21	1	NL	52.1325	5.4319
1	1	2	5	1	5	3	5	3	3	5	2	5	2	5	5	5	3	3	5	5	3	1	1	4	0	5	5	5	5	4	1	5	1	3	1	3	1	5	5	4	1	5	2	5	1	5	3	5	5	17494	2503	2280	1280	3312	2679	3487	1945	6624	2728	5440	4592	1288	5487	1769	3360	1145	3007	2192	1232	6654	3216	1696	6559	5168	0	4840	1760	1761	5791	2680	8381	2376	2353	6018	9767	2368	2944	1585	3185	4760	9039	1056	7545	3065	3760	2463	1744	5112	872	2018-10-11T22:27:50Z	1920	1080	6	194	17	59	AU	-37.8139	144.9634
4	2	4	3	4	2	5	2	4	3	4	3	4	2	3	4	3	2	4	3	1	4	3	4	2	5	2	4	4	3	5	4	2	4	1	4	3	2	3	3	3	3	4	2	3	2	3	1	4	4	5378	5369	4728	3836	3141	5570	6383	9240	3634	3080	3236	3577	4429	5765	8797	2395	3022	4127	2429	5616	5274	3698	1746	4297	8346	2918	4207	4628	3085	5197	2977	4416	2662	7381	4254	18725	4002	35632	2561	19641	3266	7178	3396	19716	13343	4063	3536	4652	2225	2101	2018-10-17T07:36:53Z	1366	768	80	305	17	10	US	38.0	-97.0
2	4	4	4	3	3	1	5	1	4	2	4	4	3	2	2	2	2	3	2	3	4	4	4	2	2	2	4	3	4	3	3	3	2	2	3	4	4	4	3	3	1	5	1	4	1	4	2	2	4	6292	2023	2673	2971	3884	5005	6934	3118	4160	2055	3409	4327	5310	14637	1503	5473	107503	2665	6651	15478	3072	2097	2583	2857	27335	2623	2363	6222	3047	4415	2329	2996	3114	46687	2957	6193	3347	1212	2768	3270	2486	5759	1457	3150	2118	2042	2693	1836	3659	6314	2018-10-29T13:07:13Z	1920	1080	2	370	10	2	US	33.9526	-84.5499
